1389.6766 	DATA 	Keypress: y
1391.3385 	DATA 	Keypress: space
1401.9257 	DATA 	Keypress: y
1404.4928 	DATA 	Keypress: space
1417.9850 	DATA 	Keypress: n
1420.9765 	DATA 	Keypress: space
1429.8333 	DATA 	Keypress: y
1431.1638 	DATA 	Keypress: space
1441.0130 	DATA 	Keypress: n
1453.1655 	DATA 	Keypress: space
1464.0087 	DATA 	Keypress: y
1468.6776 	DATA 	Keypress: space
1479.1812 	DATA 	Keypress: y
1481.9525 	DATA 	Keypress: space
1492.7504 	DATA 	Keypress: n
1494.5241 	DATA 	Keypress: space
1504.6663 	DATA 	Keypress: y
1505.9839 	DATA 	Keypress: space
1518.9371 	DATA 	Keypress: n
1523.2261 	DATA 	Keypress: space
1534.5787 	DATA 	Keypress: n
1539.4378 	DATA 	Keypress: space
1549.5861 	DATA 	Keypress: n
1555.0074 	DATA 	Keypress: space
1561.1159 	DATA 	Keypress: space
1567.3159 	DATA 	Keypress: space
1582.3180 	DATA 	Keypress: space
1605.7736 	DATA 	Mouse: Left button down, pos=(1045,266)
1605.8559 	DATA 	Mouse:  Left button up, pos=(1045,266)
1612.0551 	DATA 	Mouse: Left button down, pos=(743,209)
1612.0558 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1612.0559 	DATA 	RatingScale GSI: rating RT=29.725
1612.0559 	DATA 	RatingScale GSI: history=[(None, 0.0), ('Completely\n Agree', 23.443), ('Completely\n Agree', 29.725)]
1612.1925 	DATA 	Mouse:  Left button up, pos=(743,209)
1622.8001 	DATA 	Mouse: Left button down, pos=(934,263)
1622.8842 	DATA 	Mouse:  Left button up, pos=(934,263)
1625.5576 	DATA 	Mouse: Left button down, pos=(763,209)
1625.5582 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1625.7081 	DATA 	Mouse:  Left button up, pos=(763,209)
1636.8380 	DATA 	Mouse: Left button down, pos=(720,267)
1636.9384 	DATA 	Mouse:  Left button up, pos=(720,267)
1637.9236 	DATA 	Mouse: Left button down, pos=(720,204)
1637.9242 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1638.0142 	DATA 	Mouse:  Left button up, pos=(720,204)
1650.9927 	DATA 	Mouse: Left button down, pos=(507,266)
1651.1431 	DATA 	Mouse:  Left button up, pos=(507,266)
1653.1983 	DATA 	Mouse: Left button down, pos=(685,209)
1653.1989 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1653.2915 	DATA 	Mouse:  Left button up, pos=(685,209)
1658.3294 	DATA 	Mouse: Left button down, pos=(1045,271)
1658.4466 	DATA 	Mouse:  Left button up, pos=(1045,271)
1659.7323 	DATA 	Mouse: Left button down, pos=(733,208)
1659.7330 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1659.8448 	DATA 	Mouse:  Left button up, pos=(733,208)
1664.2611 	DATA 	Mouse: Left button down, pos=(733,208)
1664.2617 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1664.4013 	DATA 	Mouse:  Left button up, pos=(733,208)
1667.1028 	DATA 	Mouse: Left button down, pos=(733,208)
1667.1034 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1667.2390 	DATA 	Mouse:  Left button up, pos=(733,208)
1674.1541 	DATA 	Mouse: Left button down, pos=(934,267)
1674.2716 	DATA 	Mouse:  Left button up, pos=(934,267)
1675.3576 	DATA 	Mouse: Left button down, pos=(750,206)
1675.3582 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1675.4653 	DATA 	Mouse:  Left button up, pos=(750,206)
1680.0869 	DATA 	Mouse: Left button down, pos=(503,267)
1680.2370 	DATA 	Mouse:  Left button up, pos=(503,267)
1686.6712 	DATA 	Mouse: Left button down, pos=(667,202)
1686.6718 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1686.7967 	DATA 	Mouse:  Left button up, pos=(667,202)
1696.5472 	DATA 	Mouse: Left button down, pos=(938,264)
1696.6804 	DATA 	Mouse:  Left button up, pos=(938,264)
1701.9113 	DATA 	Mouse: Left button down, pos=(1043,266)
1702.0122 	DATA 	Mouse:  Left button up, pos=(1043,266)
1703.0319 	DATA 	Mouse: Left button down, pos=(726,214)
1703.0325 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1703.1470 	DATA 	Mouse:  Left button up, pos=(726,214)
1709.8165 	DATA 	Mouse: Left button down, pos=(507,269)
1709.9320 	DATA 	Mouse:  Left button up, pos=(507,269)
