26.0112 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
1056.5610 	DATA 	Keypress: d
1058.1029 	DATA 	Keypress: space
1069.0696 	DATA 	Keypress: n
1071.0871 	DATA 	Keypress: space
1073.3764 	DATA 	Keypress: space
1073.9272 	DATA 	Keypress: space
1074.2875 	DATA 	Keypress: space
1074.6458 	DATA 	Keypress: space
1075.4686 	DATA 	Mouse: Left button down, pos=(1271,460)
1075.5500 	DATA 	Mouse:  Left button up, pos=(1271,460)
1076.1944 	DATA 	Mouse: Left button down, pos=(1282,320)
1076.1954 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1076.1954 	DATA 	RatingScale GSI: rating RT=1.893
1076.1954 	DATA 	RatingScale GSI: history=[(None, 0.0), ('Neither Agree\n or Disagree', 1.194), ('Neither Agree\n or Disagree', 1.893)]
1076.2530 	DATA 	Mouse:  Left button up, pos=(1282,320)
1076.6106 	DATA 	Mouse: Left button down, pos=(1278,324)
1076.6114 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1076.6932 	DATA 	Mouse:  Left button up, pos=(1278,324)
1076.7850 	DATA 	Mouse: Left button down, pos=(1278,324)
1076.8411 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1076.8693 	DATA 	Mouse:  Left button up, pos=(1278,324)
1077.1506 	DATA 	Mouse: Left button down, pos=(1278,325)
1077.1522 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1077.2451 	DATA 	Mouse:  Left button up, pos=(1278,325)
1077.4137 	DATA 	Mouse: Left button down, pos=(1278,325)
1077.4144 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1077.5255 	DATA 	Mouse:  Left button up, pos=(1278,327)
1077.7965 	DATA 	Mouse: Left button down, pos=(1278,327)
1077.7977 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1077.9025 	DATA 	Mouse:  Left button up, pos=(1278,327)
1078.2309 	DATA 	Mouse: Left button down, pos=(1278,326)
1078.2324 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1078.3340 	DATA 	Mouse:  Left button up, pos=(1278,326)
1078.6645 	DATA 	Mouse: Left button down, pos=(1278,326)
1078.6654 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1078.7492 	DATA 	Mouse:  Left button up, pos=(1278,326)
1079.0971 	DATA 	Mouse: Left button down, pos=(1279,325)
1079.0980 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1079.1893 	DATA 	Mouse:  Left button up, pos=(1279,325)
1079.4813 	DATA 	Mouse: Left button down, pos=(1277,327)
1079.4822 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1079.5974 	DATA 	Mouse:  Left button up, pos=(1277,327)
1079.9506 	DATA 	Mouse: Left button down, pos=(1277,327)
1079.9516 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1080.0534 	DATA 	Mouse:  Left button up, pos=(1277,327)
1080.5702 	DATA 	Mouse: Left button down, pos=(1280,330)
1080.5725 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1080.6292 	DATA 	Mouse:  Left button up, pos=(1280,330)
1081.1158 	DATA 	Mouse: Left button down, pos=(1282,326)
1081.1166 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1081.1813 	DATA 	Mouse:  Left button up, pos=(1282,326)
1081.6521 	DATA 	Mouse: Left button down, pos=(1280,326)
1081.6544 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1081.7494 	DATA 	Mouse:  Left button up, pos=(1280,326)
