1101.6910 	DATA 	Keypress: space
1112.4448 	DATA 	Keypress: n
1116.1950 	DATA 	Keypress: space
1128.2411 	DATA 	Keypress: n
1129.6828 	DATA 	Keypress: space
1138.5665 	DATA 	Keypress: n
1140.2271 	DATA 	Keypress: space
1150.6932 	DATA 	Keypress: y
1152.3469 	DATA 	Keypress: space
1155.1324 	DATA 	Keypress: space
1156.4833 	DATA 	Keypress: space
1158.7966 	DATA 	Keypress: space
1159.8082 	DATA 	Mouse: Left button down, pos=(1293,452)
1159.9199 	DATA 	Mouse:  Left button up, pos=(1293,452)
1160.4702 	DATA 	Mouse: Left button down, pos=(1296,331)
1160.4713 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1160.4713 	DATA 	RatingScale GSI: rating RT=1.659
1160.4714 	DATA 	RatingScale GSI: history=[(None, 0.0), ('Neither Agree\n or Disagree', 0.997), ('Neither Agree\n or Disagree', 1.658)]
1160.5534 	DATA 	Mouse:  Left button up, pos=(1296,331)
1161.2044 	DATA 	Mouse: Left button down, pos=(1293,325)
1161.2053 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1161.2814 	DATA 	Mouse:  Left button up, pos=(1293,325)
1161.7234 	DATA 	Mouse: Left button down, pos=(1293,325)
1161.7244 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1161.8252 	DATA 	Mouse:  Left button up, pos=(1293,325)
1162.2721 	DATA 	Mouse: Left button down, pos=(1293,325)
1162.2732 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1162.3531 	DATA 	Mouse:  Left button up, pos=(1293,325)
1162.7567 	DATA 	Mouse: Left button down, pos=(1294,326)
1162.7577 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1162.8572 	DATA 	Mouse:  Left button up, pos=(1294,326)
1163.2733 	DATA 	Mouse: Left button down, pos=(1296,326)
1163.2751 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1163.3853 	DATA 	Mouse:  Left button up, pos=(1296,326)
1163.8423 	DATA 	Mouse: Left button down, pos=(1296,326)
1163.8436 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1163.9052 	DATA 	Mouse:  Left button up, pos=(1296,326)
1164.4236 	DATA 	Mouse: Left button down, pos=(1298,326)
1164.4251 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1164.5215 	DATA 	Mouse:  Left button up, pos=(1298,326)
1164.9909 	DATA 	Mouse: Left button down, pos=(1297,325)
1164.9921 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1165.0652 	DATA 	Mouse:  Left button up, pos=(1297,325)
1165.5248 	DATA 	Mouse: Left button down, pos=(1295,323)
1165.5262 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1165.6014 	DATA 	Mouse:  Left button up, pos=(1295,323)
1166.0633 	DATA 	Mouse: Left button down, pos=(1295,323)
1166.0654 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1166.1213 	DATA 	Mouse:  Left button up, pos=(1295,323)
1166.5935 	DATA 	Mouse: Left button down, pos=(1294,321)
1166.5948 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1166.6815 	DATA 	Mouse:  Left button up, pos=(1294,321)
1167.1782 	DATA 	Mouse: Left button down, pos=(1294,319)
1167.1797 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1167.2577 	DATA 	Mouse:  Left button up, pos=(1294,319)
1167.7606 	DATA 	Mouse: Left button down, pos=(1292,317)
1167.7621 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1167.8411 	DATA 	Mouse:  Left button up, pos=(1292,317)
1168.3418 	DATA 	Mouse: Left button down, pos=(1292,317)
1168.3427 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1168.4411 	DATA 	Mouse:  Left button up, pos=(1292,317)
1168.9429 	DATA 	Mouse: Left button down, pos=(1292,316)
1168.9438 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1169.0090 	DATA 	Mouse:  Left button up, pos=(1292,316)
1169.5119 	DATA 	Mouse: Left button down, pos=(1292,316)
1169.5130 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1169.6011 	DATA 	Mouse:  Left button up, pos=(1292,316)
1170.0607 	DATA 	Mouse: Left button down, pos=(1292,316)
1170.0615 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1170.1614 	DATA 	Mouse:  Left button up, pos=(1292,317)
1170.6608 	DATA 	Mouse: Left button down, pos=(1290,314)
1170.6616 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1170.7450 	DATA 	Mouse:  Left button up, pos=(1290,314)
1171.1792 	DATA 	Mouse: Left button down, pos=(1290,313)
1171.1801 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1171.2651 	DATA 	Mouse:  Left button up, pos=(1290,313)
1171.7625 	DATA 	Mouse: Left button down, pos=(1289,311)
1171.7634 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1171.8571 	DATA 	Mouse:  Left button up, pos=(1289,311)
1172.3290 	DATA 	Mouse: Left button down, pos=(1288,310)
1172.4456 	DATA 	Mouse:  Left button up, pos=(1288,310)
1174.5655 	DATA 	Mouse: Left button down, pos=(1293,317)
1174.5663 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1174.6654 	DATA 	Mouse:  Left button up, pos=(1293,317)
1175.2319 	DATA 	Mouse: Left button down, pos=(1293,317)
1175.2327 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1175.3129 	DATA 	Mouse:  Left button up, pos=(1293,317)
1175.9350 	DATA 	Mouse: Left button down, pos=(1293,317)
1175.9360 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1176.0411 	DATA 	Mouse:  Left button up, pos=(1293,317)
1176.6674 	DATA 	Mouse: Left button down, pos=(1292,313)
1176.6684 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1176.7692 	DATA 	Mouse:  Left button up, pos=(1292,313)
